date,INDPRO,RECESSION
08/01/2002,90.5505,0
09/01/2002,90.6373,0
10/01/2002,90.3988,0
11/01/2002,90.8947,0
12/01/2002,90.3906,0
01/01/2003,91.1369,0
02/01/2003,91.2505,0
03/01/2003,91.0006,0
04/01/2003,90.4311,0
05/01/2003,90.4,0
06/01/2003,90.5196,0
07/01/2003,90.9869,0
08/01/2003,90.7933,0
09/01/2003,91.3819,0
10/01/2003,91.5049,0
11/01/2003,92.1265,0
12/01/2003,92.1732,0
01/01/2004,92.3268,0
02/01/2004,92.8995,0
03/01/2004,92.5368,0
04/01/2004,92.8957,0
05/01/2004,93.5845,0
06/01/2004,92.8651,0
07/01/2004,93.5502,0
08/01/2004,93.6301,0
09/01/2004,93.7353,0
10/01/2004,94.5695,0
11/01/2004,94.8015,0
12/01/2004,95.5415,0
01/01/2005,95.8785,0
02/01/2005,96.5709,0
03/01/2005,96.4345,0
04/01/2005,96.6347,0
05/01/2005,96.7251,0
06/01/2005,97.1483,0
07/01/2005,96.8397,0
08/01/2005,97.1584,0
09/01/2005,95.2764,0
10/01/2005,96.4411,0
11/01/2005,97.5016,0
12/01/2005,97.9723,0
01/01/2006,98.127,0
02/01/2006,98.1687,0
03/01/2006,98.3913,0
04/01/2006,98.6826,0
05/01/2006,98.7074,0
06/01/2006,99.0398,0
07/01/2006,98.9751,0
08/01/2006,99.4047,0
09/01/2006,99.2246,0
10/01/2006,99.1229,0
11/01/2006,99.0963,0
12/01/2006,100.1125,0
01/01/2007,99.7546,0
02/01/2007,100.7166,0
03/01/2007,100.8952,0
04/01/2007,101.5723,0
05/01/2007,101.6269,0
06/01/2007,101.6547,0
07/01/2007,101.4953,0
08/01/2007,101.6943,0
09/01/2007,101.9428,0
10/01/2007,101.6446,0
11/01/2007,102.2167,0
12/01/2007,102.2764,0
01/01/2008,102.1493,1
02/01/2008,101.7756,1
03/01/2008,101.4508,1
04/01/2008,100.7554,1
05/01/2008,100.1336,1
06/01/2008,99.8728,1
07/01/2008,99.4194,1
08/01/2008,97.8491,1
09/01/2008,93.5576,1
10/01/2008,94.4985,1
11/01/2008,93.2617,1
12/01/2008,90.6266,1
01/01/2009,88.3712,1
02/01/2009,87.843,1
03/01/2009,86.4689,1
04/01/2009,85.7903,1
05/01/2009,84.9436,1
06/01/2009,84.6746,1
07/01/2009,85.6853,0
08/01/2009,86.6393,0
09/01/2009,87.3821,0
10/01/2009,87.5809,0
11/01/2009,87.9388,0
12/01/2009,88.2404,0
01/01/2010,89.1897,0
02/01/2010,89.5046,0
03/01/2010,90.1356,0
04/01/2010,90.4607,0
05/01/2010,91.7014,0
06/01/2010,91.9033,0
07/01/2010,92.2549,0
08/01/2010,92.5936,0
09/01/2010,92.8533,0
10/01/2010,92.6033,0
11/01/2010,92.6686,0
12/01/2010,93.5916,0
01/01/2011,93.3889,0
02/01/2011,93.0045,0
03/01/2011,93.9684,0
04/01/2011,93.6571,0
05/01/2011,93.7723,0
06/01/2011,94.0493,0
07/01/2011,94.4958,0
08/01/2011,95.0974,0
09/01/2011,95.0244,0
10/01/2011,95.6891,0
11/01/2011,95.6778,0
12/01/2011,96.1809,0
01/01/2012,96.7595,0
02/01/2012,97.0662,0
03/01/2012,96.5609,0
04/01/2012,97.251,0
05/01/2012,97.4595,0
06/01/2012,97.4768,0
07/01/2012,97.6714,0
08/01/2012,97.2734,0
09/01/2012,97.2217,0
10/01/2012,97.5311,0
11/01/2012,97.9084,0
12/01/2012,98.1884,0
01/01/2013,98.1736,0
02/01/2013,98.6434,0
03/01/2013,99.047,0
04/01/2013,98.9445,0
05/01/2013,99.0383,0
06/01/2013,99.2221,0
07/01/2013,98.8987,0
08/01/2013,99.4897,0
09/01/2013,100.021,0
10/01/2013,99.9037,0
11/01/2013,100.1582,0
12/01/2013,100.374,0
01/01/2014,99.9899,0
02/01/2014,100.7471,0
03/01/2014,101.7435,0
04/01/2014,101.8273,0
05/01/2014,102.2392,0
06/01/2014,102.5774,0
07/01/2014,102.7954,0
08/01/2014,102.6322,0
09/01/2014,102.9417,0
10/01/2014,102.9611,0
11/01/2014,103.5978,0
12/01/2014,103.6151,0
01/01/2015,102.7923,0
02/01/2015,102.1366,0
03/01/2015,101.7869,0
04/01/2015,101.2255,0
05/01/2015,100.7675,0
06/01/2015,100.4588,0
07/01/2015,101.0893,0
08/01/2015,100.9165,0
09/01/2015,100.633,0
10/01/2015,100.1563,0
11/01/2015,99.4366,0
12/01/2015,98.9471,0
01/01/2016,99.4391,0
02/01/2016,98.9232,0
03/01/2016,98.1635,0
04/01/2016,98.4775,0
05/01/2016,98.2549,0
06/01/2016,98.7315,0
07/01/2016,98.8452,0
08/01/2016,98.7427,0
09/01/2016,98.6552,0
10/01/2016,98.7237,0
11/01/2016,98.3443,0
12/01/2016,99.0406,0
01/01/2017,98.8158,0
02/01/2017,98.4356,0
03/01/2017,99.0492,0
04/01/2017,100.0416,0
05/01/2017,100.128,0
06/01/2017,100.337,0
07/01/2017,100.0865,0
08/01/2017,99.6323,0
09/01/2017,99.7482,0
10/01/2017,100.9893,0
11/01/2017,101.2493,0
12/01/2017,101.4871,0
01/01/2018,101.4852,0
02/01/2018,101.7319,0
03/01/2018,102.1943,0
04/01/2018,103.3551,0
05/01/2018,102.381,0
06/01/2018,103.2256,0
07/01/2018,103.3561,0
08/01/2018,104.0585,0
09/01/2018,104.1038,0
10/01/2018,103.9297,0
11/01/2018,104.0126,0
12/01/2018,104.0451,0
01/01/2019,103.3598,0
02/01/2019,102.8251,0
03/01/2019,102.8361,0
04/01/2019,102.2748,0
05/01/2019,102.4176,0
06/01/2019,102.5425,0
